Field 1,Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
,Reality Labs,4/25/2025,100, Meta                     , AR/VR     ,,
,Might Yell,4/25/2025,,, AR/VR     ,,
,Nerial Ltd.,4/22/2025,7,Devolver Digital, Mobile    ,,
,Makea Games,4/16/2025,20,,,,
,Brass Lion Entertainment,4/7/2025,13,, Indie     ,,
,PlaySide,4/1/2025,,, Indie     ,,
,Eidos Montreal,3/31/2025,75, Embracer Group           , Console   ,,
,Cyan Inc.,3/28/2025,12,, Indie     ,,
,PLAION,3/27/2025,40, Embracer Group           , Publisher ,,
,Machine Zone,3/21/2025,97,App Lovin, Mobile    ,,
,Crystal Dynamics,3/26/2025,17, Embracer Group           , Console   ,,
, Elodie Games              ,3/19/2025,35,, Indie     ,,
,Studio Fizbin,3/18/2025,25,Thunderful Group, Console   ,,
,Farm51,3/14/2025,15,, Indie     ,,
,Mountaintop Studios,3/14/2025,80,, Online    ,,
,Box Dragon,3/13/2025,5,, Indie     ,,
,FreeRange Games,3/13/2025,,, Indie     ,,
,PlayStation Malaysia,3/5/2025,20, Sony                     , Console   ,,
,PlayStation VASG,3/4/2025,, Sony                     , Console   ,,
,Azra Games Austin,2/26/2025,40,Azra, Mobile    ,,
,SpaceApe Games,2/25/2025,30,SuperCell, Mobile    ,,
,WB San Diego,2/25/2025,51,Warner Brothers, Online    ,,
,Player First Games,2/25/2025,70,Warner Brothers, Console   ,,
,Monolith Productions,2/25/2025,170,Warner Brothers, Console   ,,
,Skeleton Key Games,2/24/2025,,Hasbro, Console   ,,
, Striking Distance Studios ,2/20/2025,30, Krafton                  , Console   ,,
,Bossa Games,2/20/2025,,, Indie     ,,
,Liquid Sword,2/17/2025,46,, Indie     ,,
,Netease,2/17/2025,10,Netease, Console   ,,
,Sanzaru Games,2/12/2025,, Meta                     ,,,
,Crytek,2/12/2025,60,, Console   ,,
, Unity Technologies        ,2/11/2025,,Unity, Tech      ,,
,10:10 Games,2/7/2025,18,, Indie     ,,
,HiRez Studios,2/6/2025,69,, Online    ,,
,Iron Galaxy,2/5/2025,66,, Console   ,,
, probablyMonsters          ,2/4/2025,,, Console   ,,
,Sumo Group,2/4/2025,,Tencent, Console   ,,
,Midnight Society,1/30/2025,55,, Online    ,,
, Bioware Games             ,1/30/2025,, Electronic Arts          , Console   ,,
,Fast Travel Games,1/28/2025,30,, AR/VR     ,,
, Phoenix Labs              ,1/27/2025,50,Forte, Online    ,,
,MoonActive,1/27/2025,20,,Mobile,,
,Ubisoft Reflections ,1/27/2025,50, Ubisoft                  , Console   ,,
,Ubisoft Dusseldorf,1/27/2025,85, Ubisoft                  , Console   ,,
,Ubisoft Leamington,1/27/2025,50, Ubisoft                  , Console   ,,
,Machine Zone,1/21/2025,89,App Lovin, Mobile    ,California,United States
,Reflector Entertainment,1/21/2025,,Bandai Namco, Console   ,Quebec,Japan
,Unchained Entertainment,1/17/2025,25,, Indie     ,,
,Wargaming USA,1/15/2025,,Wargaming, Console   ,Chicago,
,Highwire Games,1/10/2025,,, Console   ,,
,Toadman Interactive,1/9/2025,69, Enad Global 7            , Console   ,Sweden,Sweden
,Pirahna Games,1/9/2025,38, Enad Global 7            , Console   ,British Columbia,Sweden
, Counterplay Games         ,1/9/2025,,, Indie     ,California,United States
,Freejam,1/9/2025,,, Indie     ,,
,Splash Damage,1/8/2025,,Tencent, Console   ,United Kingdom,China
,jar of Sparks,1/6/2025,35,Netease, Console   ,,
,Netmarble F&C,1/2/2025,20, Netmarble                , Mobile    ,South Korea,South Korea
